arch,condition,seed,reward_x,reward_y,final_loss,coverage,side,Ng,reward_z,wrong_z_mean,specificity_z,reward_rank_percentile,peak_error,top10_com_error,spatial_corr_reward_log_metric,area_reward_z,area_wrong_z_mean,area_specificity_z,area_reward_rank_percentile,area_peak_error,area_top10_com_error,area_spatial_corr_reward_log_metric,mean_area,mean_stretch
rnn,control,20360702,0.5,0.5,0.22912898659706116,1.0,16,256,0.21343328771800196,0.39932797319694896,-0.185894685478947,0.49489795918367346,0.38005847503304596,0.22736081674331632,0.11860989017935307,0.2130994865391113,0.3965747834068175,-0.18347529686770622,0.5,0.38005847503304596,0.22248970420620623,0.11903314396394263,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.5,0.75,0.22912898659706116,1.0,16,256,0.22445707657262406,0.39794999959012123,-0.17349292301749716,0.49489795918367346,0.23863035105460584,0.2633987895531264,0.04062759856449416,0.21579995602935242,0.39623722472053735,-0.18043726869118493,0.5,0.23863035105460584,0.26068160491302783,0.038730501964100536,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.75,0.25,0.22912898659706116,1.0,16,256,0.6217665963396114,0.3482863096192478,0.2734802867203636,0.7397959183673469,0.5502524673073059,0.34209994784085856,0.20174273590197506,0.6113781804140932,0.3467899466724447,0.26458823374164847,0.7397959183673469,0.5502524673073059,0.3411672983080204,0.19787772508917814,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.75,0.5,0.22912898659706116,1.0,16,256,0.6804691397814904,0.3409484916890129,0.33952064809247745,0.75,0.30046260628866583,0.09858172072236546,0.26642462893586183,0.6724382105341284,0.3391574429074403,0.3332807676266881,0.7551020408163265,0.30046260628866583,0.09923888399745619,0.26457152661355887,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.75,0.75,0.22912898659706116,1.0,16,256,0.8598104881852242,0.3185308231385462,0.541279665046678,0.8214285714285714,0.05270462766947305,0.1655425534672181,0.2925720721330411,0.8458381685913919,0.31748244815028237,0.5283557204411096,0.8214285714285714,0.05270462766947305,0.16823075449907293,0.2872716440148916,15.963595425826586,3.9951941119177126
rnn,reward,20360702,0.25,0.25,0.21664085984230042,1.0,16,256,1.6445152714238307,0.12075131525992867,1.523763956163902,0.923469387755102,0.05270462766947298,0.016556166429280043,0.6977794015877917,1.6398915729828625,0.12242370688831955,1.5174678660945429,0.923469387755102,0.05270462766947298,0.016500087617183423,0.6955407536637124,15.60824790060433,3.942454118445621
rnn,reward,20360702,0.25,0.5,0.22273068130016327,1.0,16,256,1.5217530032473663,0.255769175191076,1.2659838280562903,0.9540816326530612,0.060092521257733136,0.005196902621817516,0.6753346886278006,1.5111042391713598,0.25700305642652005,1.2541011827448398,0.9540816326530612,0.060092521257733136,0.004160972046004679,0.6714975953929806,15.330822622529194,3.9092179822394866
rnn,reward,20360702,0.25,0.75,0.21236374974250793,1.0,16,256,1.5961912113531977,0.16611001218703708,1.4300811991661606,0.9183673469387755,0.07071067811865477,0.006734199835304095,0.664668290839133,1.5932378794937754,0.16643865786262024,1.4267992216311551,0.9132653061224489,0.07071067811865477,0.006225079357395267,0.6632071715720914,15.855004943739324,3.976200625643795
rnn,reward,20360702,0.5,0.25,0.23467083275318146,1.0,16,256,1.5472496751465292,0.23170485965361842,1.3155448154929108,0.9336734693877551,0.11180339887498945,0.07101302928132804,0.6488106904146295,1.5300594410626016,0.23439639435718065,1.2956630467054209,0.9336734693877551,0.11180339887498945,0.07151159206438007,0.6432158284879793,15.427640554649557,3.923889177826934
rnn,reward,20360702,0.5,0.5,0.2279575914144516,1.0,16,256,1.376781542362249,0.4871792006910181,0.8896023416712309,0.9285714285714286,0.04714045207910316,0.0541174519924595,0.6497928034235374,1.3624656396467096,0.4858932504391608,0.8765723892075488,0.9285714285714286,0.04714045207910316,0.05367555099206155,0.6429173758295497,15.536509811799164,3.932313844806191
